time,blue_output,f_qacr_inv,f_qacr_dir,node_output,total
0.000000, 0, 0, 0, 0
0.100000, 0, 0, 0, 0
0.200000, 0, 0, 0, 0
0.300000, 0, 0, 0, 0
0.400000, 0, 0, 0, 0
0.500000, 0, 0, 0, 0
0.600000, 0, 0, 0, 0
0.700000, 0, 0, 0, 0
0.800000, 0, 0, 0, 0
0.900000, 0, 0, 0, 0
1.000000, 0, 0, 0, 0
1.100000, 0, 0, 0, 0
1.200000, 0, 0, 0, 0
1.300000, 0, 0, 0, 0
1.400000, 0, 0, 0, 0
1.500000, 0, 0, 0, 0
1.600000, 0, 0, 0, 0
1.700000, 0, 0, 0, 0
1.800000, 0, 0, 0, 0
1.900000, 0, 0, 0, 0
2.000000, 0, 0, 0, 0
2.100000, 0, 0, 0, 0
2.200000, 0, 0, 0, 0
2.300000, 0, 0, 0, 0
2.400000, 0, 0, 0, 0
2.500000, 0, 0, 0, 0
2.600000, 0, 0, 0, 0
2.700000, 0, 0, 0, 0
2.799999, 0, 1, 0, 0
2.899999, 0, 1, 0, 0
2.999999, 0, 1, 0, 0
3.099999, 0, 1, 0, 0
3.199999, 0, 2, 0, 0
3.299999, 0, 2, 0, 0
3.399999, 0, 2, 0, 0
3.499999, 0, 2, 0, 0
3.599999, 0, 2, 0, 0
3.699999, 0, 2, 0, 0
3.799999, 0, 2, 0, 0
3.899998, 0, 2, 0, 0
3.999998, 0, 2, 0, 0
4.099998, 0, 2, 0, 0
4.199998, 0, 4, 0, 0
4.299998, 0, 4, 0, 0
4.399998, 0, 5, 0, 0
4.499998, 0, 7, 0, 0
4.599998, 0, 7, 0, 0
4.699998, 0, 7, 0, 0
4.799998, 0, 7, 0, 0
4.899998, 0, 9, 0, 0
4.999998, 0, 11, 0, 0
5.099998, 0, 12, 0, 0
5.199997, 0, 14, 0, 0
5.299997, 0, 16, 0, 0
5.399997, 0, 17, 0, 0
5.499997, 0, 21, 0, 0
5.599997, 0, 27, 0, 0
5.699997, 0, 37, 0, 0
5.799997, 0, 45, 0, 0
5.899997, 0, 55, 0, 0
5.999997, 0, 58, 0, 0
6.099997, 0, 64, 0, 0
6.199996, 0, 67, 0, 0
6.299996, 0, 75, 0, 0
6.399996, 0, 81, 0, 0
6.499996, 0, 93, 0, 0
6.599996, 0, 102, 0, 0
6.699996, 0, 117, 2, 0
6.799996, 0, 131, 2, 0
6.899996, 0, 149, 2, 0
6.999996, 0, 164, 2, 0
7.099996, 0, 173, 2, 0
7.199996, 0, 191, 3, 0
7.299995, 0, 210, 3, 0
7.399995, 0, 233, 3, 0
7.499995, 0, 254, 4, 0
7.599995, 0, 286, 4, 0
7.699995, 0, 306, 4, 0
7.799995, 0, 342, 5, 0
7.899995, 0, 380, 6, 0
7.999995, 0, 407, 7, 0
8.099995, 0, 434, 7, 0
8.199995, 0, 466, 9, 0
8.299995, 0, 498, 9, 0
8.399996, 0, 536, 9, 0
8.499996, 0, 577, 10, 0
8.599997, 0, 616, 11, 0
8.699997, 0, 656, 14, 0
8.799997, 0, 709, 14, 0
8.899998, 0, 752, 18, 0
8.999998, 0, 788, 20, 0
9.099998, 0, 843, 23, 0
9.199999, 0, 885, 25, 0
9.299999, 0, 942, 28, 0
9.400000, 0, 982, 29, 0
